iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare
KGZ,Eastern,2.0485305737158797,-40.222307835928014,-30.753788159560656,-9.798551102211448,-1.2412225119278162,-2.2311447372754714
KHM,Neutral,-22.152146746529198,2.562428253002949,5.866735926724758,-3.1793310930262777,-3.3482922035196623,-5.967126528055346
KIR,Western,-20.17848406543746,4.181591939571746,2.244957892875931,1.9509618845172696,0.5021423692354006,0.9090012640966592
KOR,Western,-60.27150322608296,3.8427473318755005,3.1118607426887337,-18.60131033768414,-2.2039940473112267,-3.946268425282568
KWT,Neutral,-26.82902897089076,0.9268301648648105,2.8293328654044103,-4.041528757049932,-1.161224129086122,-2.0880224799853835
LAO,Eastern,5.1862760899630445,-49.386564298780925,-26.843715558604828,-18.199283005062824,-2.6192098752126043,-4.681767017448095
LBN,Neutral,8.113237380999536,-1.0292912329687738,0.43424801682544967,0.5967863735587997,-0.01046079572127212,-0.018897558427823924
LBR,Western,-37.74649255453044,2.302884944461468,6.616091207644914,-5.064487450079682,-1.8488790580270376,-3.3152285438450946
LKA,Neutral,-22.15516985791433,3.130554112779947,4.085357521722344,-1.6132034755658253,-0.22382774465044974,-0.4039996156383552
LSO,Neutral,-29.34536438861889,3.4973731225103535,2.473858106148853,1.3295200906066498,0.11102927995116829,0.20067405660833515
LTU,Western,-37.10410985118943,3.9801689332033163,1.8510315048792307,-2.6050659331863386,-1.259610128244077,-2.26402815458097
LVA,Western,-35.48203376689749,3.0915230481730873,0.6705408679054727,-1.0382156995804763,-0.5719608509440945,-1.0309136559976508
MAR,Neutral,-22.673305729246962,2.1011038491988785,2.031231390700242,-0.6380928271797046,-0.2508656569765577,-0.4527524698689831
MDA,Western,-47.00474432575726,4.607607165063783,2.6665500659630226,-6.847333227804441,-1.232414153658496,-2.215390596754901
MDG,Neutral,-26.50101602880484,1.5149140082272794,3.1669592430681774,-2.213681029558572,-0.3538005779623461,-0.6382599227204935
MDV,Neutral,-25.384561601696518,5.640910266139841,5.14261870739837,0.3351831365716862,-0.14104905703972292,-0.2546726731937383
MEX,Neutral,-25.018808398785836,2.8561144560548826,4.7695736909219875,-0.19933633278985496,-0.34319007876601404,-0.6191450146458095
MLI,Eastern,9.117185013619931,-49.18587952081998,-26.589153378355732,-30.174064263690994,-3.0150395806943493,-5.380574685167971
MMR,Western,-51.02513255984936,3.5417787750556045,3.291534265644188,-16.2609489496746,-1.5301603356943048,-2.7472944503071517
MNG,Neutral,-23.837655362275243,1.5824680355562322,0.05038503232901803,-17.922875461944855,-3.87001112742135,-6.882122670706153
MOZ,Neutral,-28.067977149610854,1.7329070955744896,2.1017713831979137,-1.5876801314566364,-0.481439844942841,-0.8680745251231485
